idx,class,conversation
600,일반,야 오늘 뭐 먹을래? 나는 치킨이 땡기는데. 그래 치킨 먹자 오랜만이네. 양념이랑 후라이드 반반 어때? 좋아 콜라도 시키자. 알았어 지금 주문할게.
601,일반,요즘 날씨 왜 이렇게 추워졌냐. 그러게 갑자기 겨울 온 것 같아. 패딩 꺼내 입어야 할 것 같아. 나도 오늘 아침에 꺼냈어. 이제 완전 겨울이네.
602,일반,주말에 뭐 할 거야? 아직 정한 거 없는데 너는? 나는 영화 보러 갈까 해. 오 뭐 볼 건데? 새로 나온 액션 영화. 나도 같이 가도 돼? 당연하지 같이 가자.
603,일반,어제 그 드라마 봤어? 응 대박이더라. 결말 어땠어? 반전 진짜 미쳤어. 스포 하지 마 나도 오늘 볼 거야. 알았어 재미있게 봐.
604,일반,카페 갈래? 좋아 어디로 갈까? 새로 생긴 디저트 카페 어때? 거기 케이크 맛있다던데. 그래 거기로 가자. 30분 뒤에 출발하자.
605,일반,요즘 운동해? 응 헬스장 다니기 시작했어. 어때 힘들지 않아? 처음엔 힘들었는데 이제 괜찮아. 나도 같이 다닐까 봐. 그래 같이 하면 더 재미있을 거야.
606,일반,내일 약속 있어? 없는데 왜? 저녁에 같이 밥 먹을래? 좋지 몇 시에? 7시쯤 어때? 응 어디서 만날까? 역 앞에서 보자.
607,일반,머리 자르고 싶은데 어디가 좋아? 내가 다니는 미용실 괜찮아. 어디야? 우리 집 근처에 있어. 예약 필요해? 응 전화로 미리 해야 해.
608,일반,배고프다 뭐 먹을까? 김치찌개 어때? 좋아 고기도 추가하자. 응 공기밥 큰 걸로. 나도 나도. 지금 바로 가자.
609,일반,주말에 등산 갈 건데 같이 갈래? 좋아 어디 산? 북한산 생각 중이야. 괜찮네 몇 시에 출발? 아침 7시. 알았어 등산화 챙겨갈게.
610,일반,요즘 책 읽어? 응 소설 하나 읽고 있어. 재미있어? 완전 몰입돼서 시간 가는 줄 몰라. 제목 뭐야? 다 읽고 추천해줄게.
611,일반,오늘 날씨 진짜 좋다. 그러게 산책하기 딱 좋아. 한강 갈래? 좋지 자전거 탈까? 응 대여하자. 그럼 3시에 출발하자.
612,일반,새로 산 옷 어때? 예쁘다 어디서 샀어? 온라인으로 주문했어. 사이즈 잘 맞네. 응 교환도 쉽대. 링크 좀 보내줘.
613,일반,저녁에 시간 있어? 응 왜? 산책하면서 얘기할래? 좋아 요즘 답답했는데. 그치 나도 바람 쐬고 싶었어. 7시에 만나자.
614,일반,게임 좋아해? 응 가끔 해. 뭐 하는데? 요즘 퍼즐 게임. 재미있어? 응 중독성 있어. 나도 해볼까?
615,일반,커피 마실래? 좋아 뭐 마실 거야? 아메리카노. 나는 라떼. 따뜻한 걸로? 응 ICE는 너무 차가워.
616,일반,여행 가고 싶다. 나도 어디 가고 싶어? 제주도. 좋지 언제 갈까? 다음 달 어때? 좋아 일정 확인해보자.
617,일반,요즘 잠 잘 와? 아니 자꾸 늦게 자. 나도 핸드폰 때문인 것 같아. 맞아 끊어야 하는데. 오늘부터 일찍 자보자. 응 같이 노력하자.
618,일반,음악 추천 좀 해줘. 요즘 뭐 들어? 발라드 위주로. 플레이리스트 보내줄까? 응 고마워. 들어보고 얘기하자.
619,일반,집에서 뭐 해? 그냥 넷플릭스 보는 중. 뭐 보는데? 예능 정주행 중. 재미있어? 응 완전. 추천해줄게.
620,일반,장 보러 갈 건데 같이 갈래? 좋아 뭐 살 거야? 과일이랑 채소. 나도 우유 사야 해. 그럼 마트에서 만나자. 응 30분 뒤에.
621,일반,요리 잘해? 그냥 간단한 것만. 뭐 잘 만들어? 파스타나 볶음밥. 맛있겠다 언제 해줘. 다음에 집에 놀러 와.
622,일반,오늘 진짜 피곤하다. 나도 일찍 자야겠어. 무리하지 마. 응 너도 푹 쉬어. 내일 보자. 그래 잘 자.
623,일반,친구 생일 선물 뭐가 좋을까? 그 친구 뭘 좋아해? 화장품이나 향수. 그럼 백화점 가볼까? 좋아 같이 골라보자. 주말에 가자.
624,일반,사진 찍는 거 좋아해? 응 취미로 해. 카메라 있어? 미러리스 하나 있어. 나도 배우고 싶어. 같이 출사 가자.
625,일반,요즘 스트레스 많아? 응 좀 쌓였어. 맛있는 거 먹으러 가자. 좋아 고기 먹고 싶다. 그래 오늘 저녁 어때? 완전 좋지.
626,일반,강아지 키우고 싶다. 귀엽긴 하지 근데 책임감 필요해. 맞아 고민 중이야. 산책도 매일 시켜야 하고. 그래도 키우고 싶어. 신중하게 결정해.
627,일반,내일 비 온대. 그럼 우산 챙겨야겠네. 실내에서 만날까? 좋아 카페에서 보자. 몇 시에? 2시쯤.
628,일반,새로운 취미 찾고 싶어. 뭐에 관심 있어? 악기 배워볼까 해. 좋은데 뭐 할 거야? 기타 생각 중. 나도 관심 있어.
629,일반,청소하기 귀찮다. 나도 미루고 있어. 주말에 같이 할까? 그래 서로 도와주자. 좋은 생각이야. 토요일에 하자.
630,일반,점심 뭐 먹었어? 김밥이랑 라면. 편의점에서? 응 간단하게. 나는 도시락 먹었어. 다음엔 같이 먹자.
631,일반,식물 키워봤어? 응 선인장. 잘 크고 있어? 응 물만 가끔 주면 돼. 키우기 쉬워? 완전 쉬워 추천해. 나도 하나 살까 봐.
632,일반,주말에 집에만 있었어? 응 쉬고 싶어서. 가끔은 그런 주말도 필요해. 맞아 충전했어. 이번 주는 나가자. 응 연락할게.
633,일반,옷 정리 좀 해야겠어. 나도 옷이 너무 많아. 안 입는 건 기부할까? 좋은 생각이야. 같이 정리할래? 그래 주말에 하자.
634,일반,다이어트 하고 싶어. 나도 운동 시작했어. 뭐 해? 유튜브 보고 홈트. 효과 있어? 조금씩 나타나는 것 같아. 나도 해봐야겠다.
635,일반,요즘 블로그 쓰니? 가끔 일상 기록해. 뭐에 대해 써? 여행이나 맛집. 재미있겠다. 응 추억 남기기 좋아.
636,일반,목 좀 아파. 병원 가봤어? 아직인데 가야 할까? 며칠 지나도 그러면 가봐. 알았어 따뜻한 물 많이 마실게. 푹 쉬어.
637,일반,새 드라마 시작했대. 뭐야? 로맨스 코미디. 재미있대? 평 좋더라. 같이 볼까? 좋아 시간 맞춰서 보자.
638,일반,빨래 다 했어? 응 개고 있어. 나도 해야 하는데. 날씨 좋을 때 해. 맞아 오늘 해야겠다. 화이팅.
639,일반,요즘 피부 관리해? 응 팩 자주 해. 효과 있어? 촉촉해지는 것 같아. 어떤 제품 써? 나중에 알려줄게.
640,일반,배달 음식 시킬까? 좋아 뭐 먹을까? 족발 어때? 찬성 보쌈도 시키자. 그래 음료도. 지금 주문할게.
641,일반,안경 새로 맞춰야 해. 렌즈 바꿀 거야? 응 도수도 확인하고. 어디서 할 거야? 안경원 추천해줄까? 응 부탁해.
642,일반,요즘 뭐 보고 있어? 예능 하나 정주행 중. 재미있어? 완전 웃겨. 제목 뭐야? 카톡으로 보내줄게.
643,일반,손톱 관리 받고 싶어. 네일샵 가? 응 젤 네일 할까 봐. 예쁘겠다 어떤 디자인? 아직 고민 중. 사진 보고 결정해.
644,일반,이어폰 추천 좀 해줘. 무선이 좋아? 응 편한 게. 내가 쓰는 거 괜찮아. 뭐야? 링크 보내줄게.
645,일반,방 모양 바꾸고 싶어. 가구 재배치? 응 분위기 전환. 도와줄까? 고마워 주말에 부탁해. 알았어.
646,일반,스터디 카페 가본 적 있어? 응 조용해서 좋더라. 집중 잘 돼? 완전 잘 돼. 어디야? 역 근처에 있어.
