idx,class,conversation
5,직장 내 괴롭힘 대화,나 이틀뒤에 가나다 음식점 예약좀 해라 저녁7시로. 가나다 음식점이요.? 우리 남자친구랑 인사드리려는데. 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘. 저. 팀장님. 저도 월 말 프로젝트로 정신없어서. 죄송하지만. 사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날? 뭐해? 윗 상사한테 잘 보이기도 해야지! 하지만 팀이 이번엔. 말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야?! 제가 진짜 실수 했습니다. 말씀하신 예약 꼭 해라 이러면 하고도 욕먹는거야!! 네네가 하면 좀 좋아?! 죄송합니다. 알겠습니다.
11,직장 내 괴롭힘 대화,이대리 오늘 도대체 뭘한거야? 창고정리도 하고 바닥도 청소했습니다 이게 한거니? 네 열심히 했어요? 이건 복사를 아까 하라고 안하셨는데요 내가? 아까 말했는데 왜 못들었어 귀 이니? 네 지금 당장에 물도 새로 받아와 이걸 먹으라고 한거니? 죄송합니다
14,직장 내 괴롭힘 대화,김사원 대리님 왜 그러세요? 이거 오늘까지 제출해야 하는데 좀 해줄래? 네? 저도 너무 할 일이 많아서요. 아니 좀 왜 그것도 못 해줘? 저도 도와드리고 싶은데 할 일이 많아서요. 너랑 같이 얼굴 보고 일해야 하는데 감당할 수 있겠어? 네? 감당할 수 있으면 하지 말든가 아닙니다 제가 하겠습니다.
19,직장 내 괴롭힘 대화,나씨 정수기 물탱크 좀 갈아주시겠어요? 정수기 물 저만 마시는 것도 아닌데 매번 저만 하잖아요. 나씨가 저희 부서 유일한 남자직원이잖아요. 그러니까요 저 일꾼 아니고 직원입니다. 그래서 못해주겠다는 건가요? 그런게 아니고 매번 정수기 물탱크로 짐 나르는데 부당하다는 겁니다. 나씨가 남자직원이니까 힘도 더 많이 먹는 게 저희 여직원보다 더 큰 거고 저는 거의 안씁니다. 물 싸가지고 다녀요. 하 그러고도 이 팀에서 잘 어울릴 수 없이 왕따시키겠다는거에요?
36,직장 내 괴롭힘 대화,나이가 몇인데 내가 이런 것까지 일러줘야돼? 죄송합니다 기본적인 것도 탑재가 된다면 어떡해? 죄송합니다. 그 죄송하다는 소리좀 듣기 싫어 제대로 할수 없어? 다음부터 제대로 해보겠습니다 그따위로는 다음은 없을지도 몰라 제대로좀해 제발! 네. 죄송합니다 아주 빨리 교육을 다시 받아야돼야 됩니다 요새 젊은 것들은. 죄송합니다
38,직장 내 괴롭힘 대화,팀장님 오늘 당직이시죠? 그런데? 아 직원 부모님 상당했다고 문자를 부탁드려도될까요? 그런건 서무가 하는일 아니니? 아 그렇긴한데 주말이라 당직자에게 부탁하는건데요. 나는 문자를 니가 와서 해라 네? 아 니가 와서 보내라고. 아 같이 가려면 시간좀 걸리는데 그냥 보내주십시오. 당직자가 원래 해주는 일도 맞지 않습니까? 아 잘 모르겠고 니가 와서 보내든가 말든가해라 끊어라
42,직장 내 괴롭힘 대화,야 조선생 이것 좀 해와 네? 저 부르신건가요? 그래 여기 너말고 더 있냐? 아니 직장인데 그렇게 부르시는거는 좀. 뭐 그럼 내가 이렇게 써가면서 불러야겠어? 일이나 제대로 해 네. 알겠습니다. 일하고 저기 이따가 쓰레기도 좀. 치료실이 너무 더럽다. 저 혼자하기에는 너무. 그럼 다 늙은 내가 하리? 알겠습니다. 버리고 오겠습니다.
45,직장 내 괴롭힘 대화,저도 육아휴직 좀 내려구요 넌 남잔데 무슨 육아휴직이야 아내 혼자 너무 힘들어서 그래서 너만 힘들 줄 알아 근데 회사 복지 중에 유가의 휴직제도 있던데요 그럼 그럴 순 있지 한번 써봐 무슨 말씀이신가요 니가 휴직하고 와서 니 자리가 있는지 보라고 너무 부당하다고요 그럼 당장 그만두던가
51,직장 내 괴롭힘 대화,최대리는 이제 살 좀 빼 그래 사람이 너무 둔해 보이네 살 좀 빼는 게 어때 운동을 하고 있습니다 요즘 일이 바쁜데 운동할 시간은 있나봐? 운동은 하지도 않으면서 칼퇴는 잘만 하잖아요 죄송합니다 운동을 하는 게 아니라 먹는 걸 줄이라는 거야 사무실에서 쩝쩝거리기는 하고요. 너 맨날 죄송하다고 하면 뭐해
60,직장 내 괴롭힘 대화,인재씨 회사가 아니 아니 무슨 말씀이세요 차장님 지난주에 저한테 사직 고려중이라고 말하지 않았나요 그건 제가 면담하다가 감정이 욱해서 그랬습니다 그럼 지금은 맘이 아파서 네 그냥 다니기로 했습니다 죄송합니다 어휴 그때 사표 받아놨어야 되는데 죄송합니다 저는 인재씨 잘라버리고 오늘 일처리 똑바로 해서 마음이 아프네요
