idx,class,conversation
0,협박 대화,"내가 죽여줄까?
아니, 미안해.
죽으실 거면 우리 혼자 죽게 해주시고, 우리가 사건에 관여하게 해주신다고요?
진짜 틀렸어.
네가 선택해 내가 죽고 싶다 내가 죽고 싶다 네가 가족을 죽이고 싶다.
죄송합니다, 정말 죄송합니다.
선택의 여지가 없으세요, 선택하지 않으면 당신과 당신의 가족을 죽여버리겠습니다.
저는 선택의 여지가 없습니다. 당신이 저를 도와야 합니다.
그냥 다 죽여야지, 동의하지 않아?
좀 도와주세요."
1,협박 대화,"여기가 도로역이야.
9시 40분에 폭발물을 설치할게요.
뭐야?
내 말 들어봐 한 번 더 얘기해 볼게.
장난치지 마.
9시 40분에 폭발물이 터지면 모두 죽을 거예요.
장난 전화는 직무에 반하는 범죄입니다.
너한테 달렸어.
선생님, 진정하세요.
내가 말했잖아, 내가 경고했잖아."
2,기타 괴롭힘 대화,"너무 귀엽다는 거 알잖아 나보다 작은 남자를 본 적이 없어.
너희들을 놀리는 건 재미없어.
지영아 너 160이니까 160이 안 돼.
나는 네가 군대에 가지 않았으면 좋겠어.
내가 어린 여자라고 생각해?
왜소들도 결혼하고 있어.
더 이상 하지 마.
네 엄마는 그렇게 하지 않았지?
나는 내 키가 상관없어.
저를 괴롭히지 마세요!"
3,갈취 대화,"야, 저기.
뭐야?
너, 이리 와.
뭐야, 뭐야.
잘 어울리시죠?
돈이 좀 있는 것 같아요.
아니요, 돈이 없어요.
거치면 죽잖아.
오늘 사람 전화?
콜이 형 마지막 기회예요 다 줘요.
나 진짜 아니야."
4,갈취 대화,"야, 이 크림을 파는 동안 내 등에 붙여줄래?
알아내려고 하는데, 한번 입어볼게요!
여기다 얹어봐 진짜 맛있어, 맛있어, 맛있어.
글쎄, 네가 잘한다고 해서 다행인 것 같은데 내 피부에는 맞지 않아.
저는 이것을 위해 정말 열심히 노력해 왔고, 당신은 많은 피부를 가지고 있는 것 같아요.
네, 매우 예민하셔서 많이 파서 좋은 밤 되세요.
노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노, 노,
입으려면 돈을 내야 하나요?
그래서 이걸 누구한테 파는 거야, 맞지?
시도해 보고 사는 게 어리석다는 걸 모르니?
당신이 옳다는 사실에 대한 책임이 누구에게 있습니까?
정말 죄송합니다, 그러니 다른 사람에게 너무 높게 기대하지 마세요."
5,직장 내 괴롭힘 대화,"이틀 뒤에 저녁 7시에 레스토랑을 예약해 주세요.
나가다에 있는 식당?
네, 남자친구 부모님께 인사하려고 하는데, 거기서 약속을 잡기가 어려우니까 부탁을 좀 해 주세요.
죄송합니다.
사장님도 잘 보시고 프로젝트를 잘하실 때 뭐 하시는 거예요?
그런데 이번에는 팀 프로젝트입니다.
내가 매일 뭘 해야 돼, 이 심부름을 해?
아니요, 제가 실수를 했습니다. 예약을 해드리겠습니다.
제가 한 번에 이해하면 괜찮으실까요?
죄송합니다, 알겠습니다."
6,기타 괴롭힘 대화,"저는 35번째 고객을 위해 아이스 커피 두 잔을 가지고 있습니다.
아이스 커피?
네, 손님. 맛있게 드세요.
이봐요, 아가씨, 저는 엉덩이를 주문하지 않았어요.
아, 오늘 더웠다고 생각하게 하셨나 봐요.
없어요?
그러실 거예요.
기억이 안 나, 틀린 거 아니야?
아니요, 이번이 귀하의 첫 주문인 것으로 확실히 기억합니다.
아가씨, 제가 잘못된 주문을 받을 수 있도록 왜 그렇게 방해받지 않는 행동을 하시나요?
뭐야?
그냥 한잔 할게요."
7,기타 괴롭힘 대화,"내 차에 경고를 넣었어?
여기 몇 년 동안 살았는데 아직도 내 차인 줄 모르니까 이렇게 경고를 해 줄 거야?
당신은 주차장 대신 통로에 계속 주차하고, 시위는 계속된다.
항상 거기에 앉을 수 있는 것은 아니에요.
비용이 얼마인지 아세요?
여러 번 인터폰을 받았고 경고를 올렸지만 며칠 동안 Izra의 아파트 프로토콜을 따라가지 못했습니다.
이거 정리하고 정리해 줘야지.
그러면 안 돼.
내가 지불한 대가를 받지 않았으면 좋겠어.
말이 너무 많은 거 아니에요?
내가 지금 가면 끝이야."
8,기타 괴롭힘 대화,"이거 할인이라고 하셨던 줄 알았어요.
그럼 한번 확인해 보겠습니다.
시람이 할인해줬어요.
네, 손님. 그 손님은 당신의 고객입니다.
손님을 차별하는 거예요?
그것은 우리가 평가를 담당하기 때문입니다.
부장님 불러주세요.
선생님, 이건 고칠 수 없어요.
그러니까 부장님 잡으세요.
진정하세요."
9,갈취 대화,"세금 계산서를 보내주셨는데, 이메일과 다른 번호였습니다.
됐어.
괜찮아요, 나머지 회사도 괜찮아요.
회사에 비밀로 해 주시길 바랍니다.
응, 응, 하지만 의도를 표시하자, 그렇지?
어느 정도 그런가요?
10장 많이 하셨는데 그 정도면 되죠?
너무한데?
그러면 직접 얘기해야지, 국세청에서도 이런 일이 생기는 거 알지?
기한 좀 더 주세요."
