idx,class,conversation
0,협박 대화,"지금 너는 스스로를 죽여달라고 하는 것인가?
아니요 제가 잘못한 게 없습니다.
죽을 거면 혼자 죽고 우리까지 죽게 해?
정말 잘못한 게 틀림없는데도 변명을 왜 안 해?
니가 선택할 수 있는 것은 네 가족을 죽이는 것이 아니야.
정말 잘못한 게 너무 많아서 말도 못 건넸어요.
선택권이 너한테 있어. 만약 네가 선택하지 못하면 모든 가족이 너의 손에 걸려 죽을 거야.
한 번만 더 기회를 주시면 선택할 수 있게 해 보겠습니다.
그렇다면 전부 다 때려 부수어야 하는 거네?
제가 힘을 좀 보태 달라 부탁하고 싶은 것이 있습니다."
1,협박 대화,"서울 강동구 암사동 롯데캐슬 퍼스트(297원), 관악구 신림동 삼성산 주공 3단지(303원)가 그 주인공입니다.
오전 9시 40분에 마트에 폭발물을 설치할 예정이다.
네, 맞아요.
한 번만 더 말을 똑바로 해서 들어 보자.
장난전화 하지 마시고요.
오전 9시 40분에 폭발하면 모든 마트가 다 죽는다.
업무방해로 볼 수 있는 것은 장난전화입니다.
너의 판단이 어떠할지에 따라 사건은 달라질 것 같아.
선생님 이제 그만 실례하겠습니다.
내가 경고를 했는데도 불구하고 그 말을 한 거야."
2,기타 괴롭힘 대화,"너 진짜 작은 남자 아니야?
너네 이런 거 하면 안 된다고 생각해서 내가 볼 때 재미가 없어
키가 160cm면 키는 어떻게 되는 거야 언니?
너 군에 안 가고 싶다.
내가 적은 돈으로 산 게 아닌데 니들이 더 많이 줬다.
애들이 다 커서 나도 시집장가 좀 가고 싶다.
이제 더 이상 하지 마라.
그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해준대
내가 해줬잖아 저 키로 어떻게 살아?
그만 좀 괴롭히라고! 조금만 더 시간을 줘도 안 된다고."
3,갈취 대화,"어이 이 사람들 말 듣고 자기가 왜 화를 내지 않았나 생각했죠?
예? 그게 아니라 그냥 평소처럼 학교를 가면 괜찮아요
너 말이야. 이리 와.
무슨 일이 있었을 것 같은데.
옷이 너한테 잘 어울리는 거 같아?
얘는 돈이 좀 많은 편인가 봐
돈이 없어요 그런 거 할 능력도 없어요.
뒤지고 뒤져도 안 나오면 넌 이제 끝장이야.
오늘은 집에서 하는 거 말고 밖에서 하는 거 어때
콜. 남은 기회를 놓치지 말고 다 내놔.
진짜 없어요 있을 수 없는 것 같아요."
4,갈취 대화,"혹시 지금 날씨가 너무 덥잖아요 저희 회사에서 이 선크림 판매하는데 손등에 한 번 발라보셨어요?
아 진짜요? 안 그래도 선크림이 필요해서 알아보고 있었는데 한 번 발라 볼게요.
여기 한 번 발라보시면 진짜 성분이 좋고 다 좋아요.
음. 성분이 좋다고 하셔서 구매했는데 제 피부에는 잘 안 맞는 것 같아요.
이번에 연구를 엄청 많이 해서 만들었는데 피부가 정말 예민한가 봐요.
네 많이 민감하신 것 같은데 그럼 이만 물러가요.
아니 저기요 돈을 안 받겠다고 하면 어떻게 해요?
네, 발라보는 것도 비용이 드나요?
그럼 이거 누구한테 팔아요? 당신이 바른거를?
아니 바르라고 먼저 권유해 놓고 나중에 사라고 하면 소비자가 피해를 입는다는 걸 모르는 거죠.
내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 당신이 바른거 당신이 구매해야지
진짜 어이가 없어서 다른 사람들한테는 이렇게 갈취하지마세요."
5,직장 내 괴롭힘 대화,"나 이틀뒤에 가나다 음식점 예약좀 해줘.
가나다 음식점이요.?
응 남자친구 부모님께 인사드리는 것도 해야 하는데 거기가 예약이 잘 안 잡혀 있다고 하던데 그래서 그런가 봐.
저.팀장님. 프로젝트가 월 말에 있어서 정신이 없는데 죄송합니다.
프로젝트 한다고 하면 할 수록 좋다고 하지 않나? 윗사람한테 잘 보이기만 하고 일 안 하고 쉬고 있으면 뭐가 불만이야?
하지만 이번엔 팀 프로젝트라 할 수 있죠.
이번엔 내가 뭐 매일같이 이런 심부름이나 하고?
제가 말실수를 했네요 예약은 내일 하겠습니다.
이렇게 하면 한번에 다 할 수 있는데 한 번에 다 할 수 없으니까 눈치 챈 거 아니야?
죄송해요 선생님. 제가 너무 급하게 말씀드려서 죄송합니다."
6,기타 괴롭힘 대화,"커피를 두 잔 마신 손님은 35세의 여자였다.
아이스커피? 아니면 그냥 차가운 물에 우린 거?
네 맛있게 잘 드실게요.
저기요 아가씨는 나한테 우유 안 시켰어요?
아 오늘 날씨가 더웠기 때문에 아이스 메뉴를 선택했는데요.
내가 왜 그랬냐 하면 자기가 잘못했다고 생각하는 거야.
네, 분명히 그게 가능할 것 같아요.
아 그런 기억이 없는데? 여자가 잘못한 게 아니야?
아니요 오늘 손님이 첫 번째로 주문하신 거예요.
아 그냥 아 제가 잘못 주문한 것을 정정하겠습니다 하고 끝내면 되지 않나요
네, 맞아요.
아휴 어쩔 수 없이 그냥 마실게"
7,기타 괴롭힘 대화,"내차에 경고하는 문구가 적혀 있는 걸 본 경비원 분이 생각났어요.
내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이렇게 경고장을 붙여?
입주민들이 항의를 하고 있는데, 정해진 주차 자리가 아닌 길에 차를 세워둔 것 때문입니다.
내가 항상 가는 곳이 거기라서 앉을 자리가 없어.
이거 얼마짜리야? 내차 값으로 칠천 얼마야?
수차례 전화도 걸고 경고장을 보냈으나 몇일째 그대로라서 아파트 규약에 따라 어쩔 수 없었습니다.
그렇다고 해서 이거 그냥 쓰지 말고 바로 손을 깨끗이 씻은 다음에 사용해.
그럴 수는 없어요.
내가 낸 관리비로 월급받는 주제에 뭐라는거야? 나 지금 거기 가요.
너무 심한 말을 하신 것 아닙니까?
나 지금 가면 당신 이제 끝이야 딱 기다려라."
8,기타 괴롭힘 대화,"이거는 할인이 많이 되는 제품이래요.
확인해보겠습니다.
아까 저 사람은 할인 적용 안 된 상태던데요
네 제가 소개할 사람은 고객님입니다.
고객을 잘 아는 것이 중요한 게 아니에요.
저희는 등급제로 운영되기 때문에 그런 겁니다.
점장님을 한번 모셔와 앉아 식사를 하십시오
손님 이것은 점장님도 해결해 주지 못합니다.
그러니까 사장님을 부르시지 않아도 된다고 생각해.
좀 진정을 하고 일을 시작해 볼까요?"
9,갈취 대화,"이메일로 받은 세금계산서랑 지금 보니까 차이가 크던데?
그게. 그 사람들 나이가 예순셋이잖아
해 본 적이 많지 않아서 음식 만드는 시간은 잘 몰라.
회사에는 비밀로 해주십시오.
응 그럼에도 불구하고 성의는 표시해야 하지 않겠어?
어느 정도의 생각을 갖고 계신가요?
10장. 네가 해 놓은 게 많은데 그 정도까지 할 수 있겠어?
그것은 너무 많아서 할 수 없습니다.
그럼 국세청에도 신고가 되는 거 알고 있지?
좀 더 시간을 두고 지켜볼 게요."
